Alphaflexiviridae
Amalgaviridae
Aspiviridae
Avsunviroidae
Barnaviridae
Betaflexiviridae
Botourmiaviridae
Bromoviridae
Caulimoviridae
Chrysoviridae
Closteroviridae
Deltaflexiviridae
Endornaviridae
Fimoviridae
Geminiviridae
Kitaviridae
Luteoviridae
Mayoviridae
Nanoviridae
Narnaviridae
Partitiviridae
Peribunyaviridae
Phenuiviridae
Pospiviroidae
Potyviridae
Reoviridae
Rhabdoviridae
Secoviridae
Solemoviridae
Spinareoviridae
Tombusviridae
Tospoviridae
Totiviridae
Tymoviridae
Virgaviridae
